id,data_hora,status_turbina,nivel_montante_grade,corrente_fase_AB,corrente_fase_BC,corrente_fase_CA,tensao_fase_AB,tensao_fase_BC,tensao_fase_CA,excitacao_tensao,excitasao_corrente,frequencia,potencia_ativa,potencia_reativa,potencia_aparente,fp,distribuidor,rotor,pressao_montante,velocidade,horimetro,acumulador_energia,temp_oleo_UHLM,pressao_UHRV,temp_oleo_UHRV,temp_enrol_fase_A,temp_enrol_fase_B,temp_enrol_fase_C,temp_nucleo,temp_CSU1,temp_vedacao_eixo_la,temp_vedacao_eixo_lna,temp_manc_esc_comb,temp_manc_rad_comb,temp_cont_esc_manc_comb,temp_manc_rad_guia,temp_manc_rad_comb_la,temp_manc_rad_comb_lna
136523,2025-10-31 00:15:52,0,869.738,927.0,918.0,917.0,708.0,707.0,706.0,41.082,9.79323,60.022,1124.0,-140.0,1133.0,9.91,84.9609,69.5068,0.99375,276.0,2183.18,2170.67,37.7,130.938,41.3,71.4,71.4,70.3,60.3,33.7,27.5,27.2,39.2,39.4,39.2,38.6,42.6,38.4
136528,2025-10-31 00:21:02,0,869.738,927.0,918.0,919.0,709.0,708.0,707.0,41.082,9.80625,60.0879,1112.0,-133.0,1120.0,9.92,84.8633,68.3472,0.99375,277.0,2183.28,2170.76,37.6,150.312,41.2,71.3,71.4,70.2,60.2,33.6,27.7,27.3,39.2,39.4,39.2,38.6,42.7,38.5
136533,2025-10-31 00:26:12,0,869.75,918.0,914.0,914.0,709.0,708.0,707.0,41.082,9.79063,60.0659,1130.0,-142.0,1139.0,9.91,84.8389,67.7734,0.99375,277.0,2183.38,2170.85,37.7,126.719,41.3,71.2,71.3,70.1,60.2,33.6,27.6,27.2,39.2,39.4,39.2,38.6,42.7,38.4
136538,2025-10-31 00:48:56,0,869.763,992.0,985.0,987.0,711.0,710.0,710.0,42.084,10.1628,60.0659,1219.0,-152.0,1229.0,9.91,88.3789,79.48,0.98125,276.0,2183.78,2171.33,37.6,121.406,41.1,74.2,74.4,73.1,61.1,33.7,27.7,27.2,39.2,39.4,39.2,38.6,42.7,38.4
136543,2025-10-31 00:54:06,0,869.763,992.0,991.0,992.0,711.0,711.0,710.0,42.084,10.1316,60.0586,1220.0,-158.0,1230.0,9.91,88.4033,80.9937,0.98125,277.0,2183.78,2171.44,37.8,126.562,41.1,74.6,74.8,73.5,61.5,33.6,27.6,27.2,39.2,39.4,39.2,38.6,42.7,38.4
136548,2025-10-31 00:59:16,0,869.767,993.0,987.0,991.0,712.0,711.0,711.0,43.086,10.1784,60.0806,1207.0,-149.0,1216.0,9.91,88.501,80.7373,0.9875,276.0,2183.88,2171.56,37.7,131.406,41.1,74.9,75.1,73.8,61.9,33.8,27.5,27.2,39.2,39.4,39.3,38.6,42.6,38.3
136553,2025-10-31 01:22:01,0,869.775,1002.0,1000.0,1002.0,711.0,711.0,711.0,43.086,10.5792,60.0366,1216.0,-132.0,1224.0,9.93,88.3301,80.2246,0.9875,277.0,2184.28,2172.05,37.6,125.469,41.1,75.9,76.1,74.8,62.9,33.7,27.6,27.2,39.2,39.4,39.2,38.6,42.6,38.3
136558,2025-10-31 01:27:11,0,869.788,994.0,991.0,992.0,708.0,708.0,708.0,42.084,10.1524,60.0806,1235.0,-159.0,1246.0,9.91,88.3301,80.2856,0.9875,276.0,2184.38,2172.16,37.5,124.531,41.2,76.1,76.3,75.1,63.1,33.7,27.5,27.2,39.2,39.4,39.2,38.6,42.6,38.3
136563,2025-10-31 01:50:56,0,869.788,1015.0,1014.0,1013.0,709.0,708.0,708.0,44.088,10.2721,60.0073,1240.0,-161.0,1250.0,9.91,88.5376,80.2002,0.9875,277.0,2184.78,2172.67,37.5,137.656,41.2,76.7,76.9,75.6,63.6,33.6,27.6,27.2,39.1,39.4,39.1,38.6,42.6,38.2
136568,2025-10-31 01:56:07,0,869.788,989.0,987.0,987.0,709.0,709.0,708.0,43.086,10.181,60.022,1233.0,-157.0,1243.0,9.91,88.4521,80.5176,0.9875,277.0,2184.88,2172.78,37.6,148.906,41.2,76.7,76.9,75.7,63.6,33.3,27.5,27.2,39.1,39.4,39.1,38.5,42.5,38.2
